"","ORI7","GOVID","STATE","year","cityid","stateyear","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y9","Y8","Y10","Y11","Y12","S","C1","Z","C2","W"
"1","AL00102",12037003,"AL",1962,1,3,-0.0500104205746617,-0.307484699747961,0.0518848353690116,-0.217755929781831,0.115441688040282,0.133653982207015,0.202315328636953,0.135454088167773,-0.166294687082058,-0.0681729278940786,0.153493047275397,-0.0602106635899951,0,0.0187502042249132,-0.0379945822060108,0,212237
"2","AL00102",12037003,"AL",1963,1,4,0.22825865198098,0.246860077931526,0.0963311089384318,0.354433628095719,0.225495776121385,0.0370599931301374,0.0477603258714172,0.0895454823919746,0.300754154019134,0.239011776299094,0.117071257574828,0.234422022443997,0.0405460943943501,-0.0071163161568375,-0.0174144506454468,0,212237
"3","AL00102",12037003,"AL",1964,1,5,0.168622712435793,0.171850256926659,0.480787114646763,0.244074789000541,0.182437572804295,0.218003856670673,0.165551203859294,0.202903518880408,0.184078670174334,0.178477330274884,0.183436477028771,0.178653664366085,0.0453151962120426,0.000489911173540136,0.0391847304999828,0,212237
"4","AL00102",12037003,"AL",1965,1,6,-0.0350913198112695,0.123613955967177,-0.0584582004865934,-0.352348210883491,0.0815586025645612,-0.077386663615421,0.0718075340561803,-0.0155482527026169,-0.217924244912499,-0.0615003777457623,0.0468353603053799,-0.0574303976756987,0.0167367923555233,0.0104883566757508,0.00707345642149448,0,212237
"5","AL00102",12037003,"AL",1966,1,7,0,0.20909179785856,0.0521290654349462,0.269430167484861,0.105921705394765,0.0530231192165971,0.100816417299789,0.0747275899956783,0.182881153898653,0.0270570273907502,0.0944733657171959,0.029812129946805,0.00414079266603196,0.00946797561425505,0.0267372038215399,-0.00470201624557376,212237
"6","AL00102",12037003,"AL",1967,1,8,-0.0935260580108239,0,0.0793098384578839,-0.073970863769329,0.0533709614233029,-0.0616811819597114,0.187720721471726,0.00436852243221786,-0.0546112697817325,-0.0882831918028053,0.0882076590784031,-0.0801702412084033,0.0143592210778882,-0.000991969111444391,-0.0120788887143135,-0.00947079062461853,212237
"7","AL00102",12037003,"AL",1968,1,9,0.257829109302099,0.0901510969942971,0.167054084663166,0.282389782014303,-0.0314913728074231,0.0163867401147737,0.199271115107727,0.0247552616786102,0.21513520360532,0.256540873838365,0.0785325535187802,0.248363929739888,0.0573846837809526,0.00421970889571988,0.0794683992862701,-0.0143764717504382,212237
"8","AL00102",12037003,"AL",1969,1,10,0.332133835022615,0.405465108108165,-0.278624785339271,0.142087305582433,-0.132355889961833,0.135276376240682,0.000525072209491384,0.0365330622926709,0.166916630767277,0.311108000133995,-0.0271037113777304,0.298941818668375,0.0542696299340575,0.00419633797042884,-0.0205081161111593,-0.0194960571825504,212237
"9","AL00102",12037003,"AL",1970,1,11,-0.378653850657508,-0.0350913198112703,0.0727018317767323,0.129915320765033,0.135643821528822,0.0586447861559822,0.364934701284974,0.127988568485906,-0.0010085729548841,-0.313831539529932,0.242661351202745,-0.291438201907471,-0.00914919465358821,-0.164244036636591,0.082299068570137,-0.0255765095353127,212237
"10","AL00102",12037003,"AL",1971,1,12,0.263584520872721,0.154150679827259,0.349023797203212,-0.0456803409594757,0.129978782419965,0.0108626893047763,0.0532229183456536,0.0523909911053746,0.0649483765904444,0.225634846179741,0.072050412359399,0.218220214406902,0.0554207939414084,-0.0154387621366912,0.013683969154954,-0.0217518378049135,212237
"11","AL00102",12037003,"AL",1972,1,13,-0.0759859069779223,0.0497615095590636,0.487325847850093,-0.0975053167264539,0.0661200370219959,0.00336329687872094,-0.183427904576558,-0.00760879905722511,0.0600960438180103,-0.0686487121102672,-0.0698541924586813,-0.0687027236274673,0.0392207131532807,-0.0109063732712968,0.0535275004804134,-0.0176590979099274,212237
"12","AL00102",12037003,"AL",1973,1,14,-0.187598613894798,0.648474740508353,0.179676052605531,0.513493816696388,0.115617999066162,-0.0662922095464413,0.24083584575544,0.0444544406245857,0.275362507972357,-0.0578546675242571,0.155575583394658,-0.0472572827249138,0.0631789016215318,-0.00259988428184066,0.0407025367021561,-0.0159266013652086,212237
"13","AL00102",12037003,"AL",1974,1,15,0.187598613894798,-0.0467617659080393,0.275187116054936,0.21680450690778,0.206490636573038,0.141755553808478,0.0644365583538988,0.151225801543582,0.18440412867771,0.184559954053292,0.126861294925035,0.181480095012184,0.0232749063544899,-0.0109828657864508,0.0745412111282349,-0.0135273868218064,212237
"14","AL00102",12037003,"AL",1975,1,16,0.157903029445809,-0.0602922302561204,0.212186846676004,-0.118281167671665,-0.0436713230105248,0.243674313040176,0.0262656608628866,0.112501690859727,-0.0798553013761367,0.106600597769777,0.0276237931189982,0.102649067295598,-0.0123458358222992,-0.00138440900933823,0.00130924442782998,-0.00935006886720657,212237
